Engine Size,Age of Vehicle,Speed,Road Type,Traffic Conditions,Temperature,Wind Speed,NOx Emissions
1.745489829,11,51.72520983,Rural,Heavy,5.906321613,2.188678664,1.613933526
1.525368075,16,2.043775331,Rural,Heavy,4.547553415,1.236624768,1.56476022
1.838303667,10,92.67319508,Rural,Heavy,25.80440174,0.142552402,0.314549485
3.95923323,23,47.10024147,Rural,Heavy,35.26840636,10.80139841,0.843239192
1.686725443,5,104.8921276,City,Moderate,15.56221585,5.424204324,0.882502318
3.088792967,7,114.8789818,City,Free flow,31.26487055,0.485663247,0.971523734
2.420897596,26,6.963555251,City,Free flow,9.427764832,2.383517587,0.165658055
1.761243169,12,51.21551233,Highway,Free flow,5.303197443,11.0557761,1.825910658
5.685394496,26,63.83627529,City,Moderate,8.03117374,15.59762589,1.593091986
1.819110885,26,52.66260338,Rural,Free flow,13.3829305,16.12271862,0.908885665
2.49171772,12,19.26481039,Rural,Moderate,0.806532125,6.340084337,1.615926576
2.655117299,18,18.44928343,Rural,Moderate,29.59732374,17.32351664,1.398808271
0.828715009,28,87.86454535,Highway,Heavy,27.13039845,3.123382555,0.530414126
4.475658188,11,87.21366628,Highway,Moderate,-4.861471988,6.152133932,0.929602937
1.40251911,7,116.0911718,Rural,Moderate,31.77178234,10.68497543,0.899981212
5.288137815,10,10.67069507,City,Moderate,15.85068986,1.240368463,1.517624801
4.04115026,26,57.30679195,Highway,Heavy,16.33599373,13.48551477,0.9762739
1.130503421,7,75.62523149,Highway,Moderate,32.1376526,7.628342336,1.928213296
4.115298851,27,89.8492622,Rural,Moderate,26.91866356,3.474227466,0.577342087
3.255517611,3,101.5958464,Highway,Moderate,32.99744493,4.105880621,0.251468218
3.718641427,19,117.532997,Rural,Moderate,22.28746802,18.27493,0.538525924
3.367737101,4,12.20621328,City,Free flow,37.16393023,9.714312257,1.801046401
4.72886592,1,31.65409229,City,Moderate,0.193665462,3.976242931,1.514888967
1.989750461,18,28.83736213,Highway,Free flow,38.00930078,7.127787865,0.598248379
5.634427792,17,72.93332549,Highway,Heavy,-5.778780787,2.844639742,0.899227267
4.093699534,22,89.69310304,Rural,Moderate,22.40501685,10.9777317,1.691637395
5.45967476,12,55.75752014,City,Moderate,15.77110859,9.625094822,1.471839103
3.020960501,12,25.30257486,Rural,Heavy,11.33683575,11.92794956,1.194172352
5.275799033,1,113.9744522,City,Moderate,26.95476452,14.77652448,0.325482578
2.970537216,22,76.62837337,City,Heavy,35.30493012,8.686920303,1.596050438
2.555598891,4,19.13114483,City,Moderate,30.60443789,8.540599202,0.716239062
2.690873932,3,118.7120094,City,Moderate,3.909606108,12.31613976,1.495741555
