Engine Size,Age of Vehicle,Speed,Road Type,Traffic Conditions,Temperature,Wind Speed,NOx Emissions
2.747608618,22,49.08325451,Highway,Moderate,13.88045841,18.93886108,1.085519804
5.743714393,3,23.46031082,City,Heavy,19.13694657,14.71652591,1.285628406
3.913024118,4,18.54021738,Rural,Heavy,35.99489346,11.9518592,1.040955765
3.925798061,18,76.29076012,City,Moderate,20.1434468,10.19235868,0.589204877
4.481977405,13,82.2633618,Highway,Heavy,19.1644815,3.147319641,0.839387631
0.90703937,8,56.10851547,Rural,Moderate,34.37984588,0.415627657,1.167038555
3.528733444,24,38.62555811,Rural,Free flow,12.43075244,18.76427029,1.543045547
3.171563918,26,26.1059316,Rural,Moderate,0.841945772,14.16199316,0.673610374
4.882914999,1,21.99070376,City,Free flow,-9.195264425,15.40135647,0.33610564
3.47401908,10,30.61037173,Highway,Moderate,9.980117114,15.07647035,1.060834139
5.734204794,20,48.71537476,City,Moderate,16.99797159,5.911777441,0.210050574
5.00366621,29,114.475828,City,Free flow,0.09003644,2.738544576,0.807182213
1.307894993,25,24.92586261,City,Free flow,24.99850551,3.792255291,0.682160789
0.97882031,27,50.53021612,Highway,Heavy,8.2189555,4.446187214,1.743893195
3.50435371,15,58.22243235,City,Moderate,31.8638295,14.03927758,1.925831036
5.453102222,21,45.02896883,Rural,Heavy,2.215587497,9.273729165,1.382552062
1.260161011,16,61.46676689,Rural,Moderate,-4.29433674,8.67611777,0.995245506
1.035181902,1,32.49543556,City,Free flow,-0.778404907,14.97410396,1.809577843
2.211014965,25,61.04199932,Rural,Moderate,-3.762007199,10.3721286,1.342255166
2.26085945,10,113.718872,City,Free flow,9.714246096,9.519864985,1.151537396
3.622019632,4,65.14264212,City,Moderate,24.44962697,15.12520725,0.434191478
1.187663347,29,7.416344409,Highway,Free flow,9.858403067,15.78096733,0.291949773
1.833321544,5,78.12947709,City,Moderate,22.72421953,0.928215147,0.398727795
4.590837274,0,16.40259837,Rural,Moderate,-9.995320307,5.249499775,0.897380853
5.413506261,18,19.67545426,Highway,Free flow,-8.691593083,4.386672795,1.656521743
4.508872894,15,4.229333888,City,Free flow,12.06721233,13.99990965,1.394692338
4.756082253,12,47.40545028,City,Heavy,23.45389237,17.63686126,1.82921534
0.932179459,19,86.07379407,City,Free flow,18.06903991,6.638533483,1.688870121
1.36103542,23,24.00127073,City,Heavy,17.71589817,0.44422259,0.575006182
0.963431766,3,55.2086393,Rural,Heavy,14.28937041,6.63095434,1.242321086
2.9339912,21,111.4046212,Highway,Free flow,27.45776768,1.956785729,0.50914586
1.200295531,16,73.65676814,Highway,Heavy,29.55608852,10.65467137,0.339615871
2.306707555,4,74.55564411,Highway,Moderate,35.93590861,9.710839961,0.657277949
1.770164306,7,0.20460378,Rural,Heavy,35.73024297,9.427592575,1.08786119
5.441306792,26,76.36389722,Rural,Moderate,1.048816455,0.571859784,1.724566114
2.45361807,15,115.8871948,Rural,Heavy,8.700280774,1.714937861,0.357372813
3.455885973,14,36.39877443,City,Moderate,10.32964302,14.67303384,1.065639112
1.954960614,18,74.98107571,Rural,Free flow,27.62836473,1.068533125,1.360957736
1.42329991,12,71.63101629,City,Moderate,-8.857211525,5.574978783,0.985336643
3.497711233,5,2.231047035,Highway,Heavy,31.79779497,5.740033547,0.607272254
