Age of Vehicle,Speed,Road Type,Traffic Conditions,Temperature,Wind Speed,NOx Emissions
22,49.08325451,Highway,Moderate,13.88045841,18.93886108,1.085519804
3,23.46031082,City,Heavy,19.13694657,14.71652591,1.285628406
4,18.54021738,Rural,Heavy,35.99489346,11.9518592,1.040955765
18,76.29076012,City,Moderate,20.1434468,10.19235868,0.589204877
13,82.2633618,Highway,Heavy,19.1644815,3.147319641,0.839387631
8,56.10851547,Rural,Moderate,34.37984588,0.415627657,1.167038555
24,38.62555811,Rural,Free flow,12.43075244,18.76427029,1.543045547
26,26.1059316,Rural,Moderate,0.841945772,14.16199316,0.673610374
1,21.99070376,City,Free flow,-9.195264425,15.40135647,0.33610564
10,30.61037173,Highway,Moderate,9.980117114,15.07647035,1.060834139
20,48.71537476,City,Moderate,16.99797159,5.911777441,0.210050574
29,114.475828,City,Free flow,0.09003644,2.738544576,0.807182213
25,24.92586261,City,Free flow,24.99850551,3.792255291,0.682160789
27,50.53021612,Highway,Heavy,8.2189555,4.446187214,1.743893195
15,58.22243235,City,Moderate,31.8638295,14.03927758,1.925831036
21,45.02896883,Rural,Heavy,2.215587497,9.273729165,1.382552062
16,61.46676689,Rural,Moderate,-4.29433674,8.67611777,0.995245506
1,32.49543556,City,Free flow,-0.778404907,14.97410396,1.809577843
25,61.04199932,Rural,Moderate,-3.762007199,10.3721286,1.342255166
10,113.718872,City,Free flow,9.714246096,9.519864985,1.151537396
4,65.14264212,City,Moderate,24.44962697,15.12520725,0.434191478
29,7.416344409,Highway,Free flow,9.858403067,15.78096733,0.291949773
5,78.12947709,City,Moderate,22.72421953,0.928215147,0.398727795
0,16.40259837,Rural,Moderate,-9.995320307,5.249499775,0.897380853
18,19.67545426,Highway,Free flow,-8.691593083,4.386672795,1.656521743
15,4.229333888,City,Free flow,12.06721233,13.99990965,1.394692338
12,47.40545028,City,Heavy,23.45389237,17.63686126,1.82921534
19,86.07379407,City,Free flow,18.06903991,6.638533483,1.688870121
23,24.00127073,City,Heavy,17.71589817,0.44422259,0.575006182
3,55.2086393,Rural,Heavy,14.28937041,6.63095434,1.242321086
21,111.4046212,Highway,Free flow,27.45776768,1.956785729,0.50914586
16,73.65676814,Highway,Heavy,29.55608852,10.65467137,0.339615871
4,74.55564411,Highway,Moderate,35.93590861,9.710839961,0.657277949
7,0.20460378,Rural,Heavy,35.73024297,9.427592575,1.08786119
26,76.36389722,Rural,Moderate,1.048816455,0.571859784,1.724566114
15,115.8871948,Rural,Heavy,8.700280774,1.714937861,0.357372813
14,36.39877443,City,Moderate,10.32964302,14.67303384,1.065639112
18,74.98107571,Rural,Free flow,27.62836473,1.068533125,1.360957736
12,71.63101629,City,Moderate,-8.857211525,5.574978783,0.985336643
5,2.231047035,Highway,Heavy,31.79779497,5.740033547,0.607272254
21,41.9687509,Highway,Heavy,22.72153057,9.485429979,0.236133672
26,68.50090024,City,Free flow,4.653113464,10.26279087,0.994014317
14,73.83736887,Highway,Heavy,4.755016244,15.55480764,0.614194839
1,109.4823704,Highway,Heavy,13.66739893,16.98067824,0.141164197
15,27.03189344,Highway,Heavy,-7.248030314,2.284386371,0.717887761
27,47.99935162,Highway,Heavy,2.937947836,9.583198637,1.418271842
14,15.48640638,Rural,Heavy,34.22731434,15.42972922,0.835585102
21,70.23001837,Rural,Moderate,11.77286238,19.81072679,1.013175792
13,29.14375806,Highway,Free flow,3.528396404,17.06949069,1.128641731
17,39.85858997,Rural,Heavy,36.82977109,2.38535244,0.860939691
29,112.2229237,Highway,Free flow,21.01953737,13.48961846,1.285096708
16,40.42754224,Rural,Moderate,5.826839267,3.401795027,1.30315921
19,2.408051449,City,Heavy,10.11831715,15.60028542,0.821485802
27,65.21699045,Highway,Moderate,-2.50575656,8.63685747,1.046126309
16,71.50612059,City,Heavy,34.65350958,18.1056976,0.966747613
19,83.60002943,Rural,Free flow,12.79600436,18.79879033,1.602427026
